,Team: Team,,,P%: Point Pctg
,Season: Season,,,independent
,GP: Games Played,,,GF: Goals For
,P: Points,,,
,GF/GP: Goals For Per Game Played,,,
,GA/GP: Goals Against Per Game Played,,,
,PP%: Power Play Percentage (since 1977-78),,,
,PK%: Penalty Kill Percentage (since 1977-78),,,
,Shots/GP: Shots For Per Game Played,,,
,SA/GP: Shots Against Per Game Played,,,
,FOW%: Faceoff Win Percentage (since 1997-98),,,
,EV FO: Even Strength Face-offs,,,
,PP FO: Power Play Face-offs,,,
,SH FO: Shorthanded Face-offs,,,
,OZ FO: Offensive Zone Face-offs,,,
,NZ FO: Neutral Zone Face-offs,,,
,DZ FO: Defensive Zone Face-offs,,,
,GA 5v5: Goals Against 5v5,,,
,GA/GP: Goals Against Per Game Played,,,
,GF 5v5: Goals For 5v5,,,
,5v5 TOI/GP: 5v5 Time on Ice per Game Played (since 2009-10),,,
,SAT%: SAT Percentage,,,
,Hits/60: Hits per 60,,,
,BkS/60: Blocked Shots per 60 Minutes,,,
,GvA/60: Giveaways per 60 Minutes,,,
,TkA/60: Takeaways per 60 Minutes,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Shots/GP: Shots For Per Game Played,,,
,SA/GP: Shots Against Per Game Played,,,
,Wins Outshoot Opp: Wins Outshot Opponent,,,
,Pen Drawn/60: Penalties Drawn per 60 Minutes,,,
,Pen Taken/60: Penalties Taken per 60 Minutes,,,
,Minor: Minor Penalties,,,
,Major: Major Penalties,,,
,S: Shots,,,
,S%: Shooting Percentage,,,
,S% Tip: Shooting Pct Tip-In (since 2009-10),,,
