Team,Season,P,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%,EV FOW%,PP FOW%,SH FOW%,OZ FOW%,NZ FOW%,DZ FOW%,GA 5v5,GA/GP,GF 5v5,5v5 TOI/GP,SAT%,Hits/60,BkS/60,GvA/60,TkA/60,GF in P1,GA in P1,GF in P2,GA in P2,Win% Lead 1P,Win% Lead 2P,Win% Trail 1P,Win% Trail 2P,Wins Outshoot Opp,Pen Drawn/60,Pen Taken/60,Minor,Major,S%,S% Tip,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game
Tampa Bay Lightning,20182019,128,3.89,2.7,28.2,85,32,32.1,51.2,51.4,54.2,47.3,52.7,50.5,50.4,157,2.7,206,47:37,51.6,25.48,13.55,8.12,6.88,102,84,100,61,0.912,0.907,0.6,0.429,30,3.96,4,301,15,12.2,22.1,0.774,0.615,0.789
Boston Bruins,20182019,107,3.13,2.59,25.9,79.9,32.7,29.5,50.7,50.2,59.8,46.4,50.2,51.5,50.6,128,2.59,157,48:37,53.1,22.58,12.64,9.39,8.61,66,56,93,71,0.806,0.838,0.261,0.13,27,3.9,3.85,277,27,9.6,24.8,0.583,0.417,0.676
Calgary Flames,20182019,107,3.52,2.72,19.3,79.7,32.4,28.1,52.4,52.5,52.2,51,52.2,53.1,51.9,149,2.72,188,47:35,53.8,14.93,12.52,12.76,10.18,83,81,83,75,0.875,0.969,0.323,0.242,32,4.06,3.59,266,15,10.9,22.3,0.516,0.522,0.786
Washington Capitals,20182019,104,3.34,3.02,20.8,78.9,30.4,31.5,45.7,45.6,45.7,46.8,43.8,45.7,47.8,161,3.02,197,47:51,49,22.72,14.87,10.92,8.29,87,66,103,83,0.73,0.902,0.318,0.148,21,3.5,3.78,281,16,11,21.1,0.594,0.65,0.533
New York Islanders,20182019,103,2.72,2.33,14.5,79.9,28.8,30.9,47.4,47.9,49.3,41.1,48.5,46.7,47.1,127,2.33,162,49:10,47.9,24.45,15.59,10.71,6.69,71,56,68,61,0.71,0.85,0.368,0.208,17,3.34,3.28,243,16,9.5,14.9,0.594,0.526,0.613
San Jose Sharks,20182019,101,3.52,3.15,23.7,80.8,33,28.3,50.3,50.6,52.1,45.9,50.7,49,51.4,186,3.15,193,48:41,54.9,19.04,13.02,9.68,9.01,102,85,86,84,0.813,0.872,0.25,0.185,32,3.74,3.6,255,17,10.7,15.4,0.563,0.429,0.611
Nashville Predators,20182019,100,2.88,2.59,12.9,82.1,32.7,30,51.5,52.2,50.6,46.6,49.8,52.4,52.7,143,2.59,164,47:35,52.3,18.02,13.03,9.58,7.59,53,64,86,79,0.88,0.946,0.3,0.194,30,3.76,3.64,265,18,8.8,18.3,0.543,0.529,0.633
Pittsburgh Penguins,20182019,100,3.3,2.9,24.6,79.7,33.3,33.3,50.6,50.2,56.9,48.2,53.1,49.5,49.2,150,2.9,182,49:05,49.7,28.46,14.8,9.68,7.62,86,70,104,84,0.75,0.923,0.296,0.115,15,3.38,3.35,245,17,9.9,14.8,0.452,0.6,0.583
Toronto Maple Leafs,20182019,100,3.49,3.04,21.8,79.9,33.4,33.1,53,53.2,54,50,53.7,52,53.3,171,3.04,206,49:44,51.7,17.19,13.47,11.36,8.41,76,70,100,87,0.828,0.973,0.333,0.097,20,2.92,2.76,208,7,10.5,10.4,0.48,0.667,0.545
Carolina Hurricanes,20182019,99,2.96,2.7,17.8,81.6,34.4,28.6,49,49.4,52,42.5,49.3,50.3,47.5,148,2.7,161,48:21,54.8,25.08,12.63,10.47,10.76,70,67,83,70,0.862,0.872,0.25,0.115,28,3.64,3.49,271,8,8.6,16.8,0.536,0.55,0.588
St. Louis Blues,20182019,99,2.98,2.68,21.1,81.5,31.8,28.6,51.4,51.4,55.7,47.4,51.4,50.6,52.2,147,2.68,167,48:36,51.5,19.45,13.71,6.69,8.29,83,58,79,76,0.758,0.897,0.158,0.065,32,3.42,3.35,247,15,9.4,14.4,0.485,0.583,0.595
Winnipeg Jets,20182019,99,3.29,2.96,24.8,79.2,31.2,33.4,50.7,51,52.1,46.8,50.7,50.9,50.5,163,2.96,168,48:13,49,22.24,14.34,8.45,7.52,85,71,76,83,0.733,0.743,0.435,0.2,18,3.71,3.72,272,19,10.6,23.8,0.613,0.556,0.545
Columbus Blue Jackets,20182019,98,3.12,2.82,15.4,85,31.6,29.5,50.3,50.7,50.5,44.3,48,50.3,52.6,170,2.82,186,49:45,50.2,21.09,13.03,7.12,7.51,84,81,83,73,0.879,0.941,0.267,0.077,28,3.1,2.82,213,12,9.9,18.8,0.63,0.357,0.61
Montréal Canadiens,20182019,96,3,2.88,13.3,80.9,34.1,31.1,49.4,48.9,54.6,49.8,48.4,50.2,49.7,163,2.88,188,48:31,54.1,26.66,14.16,11.69,7.32,75,70,91,78,0.75,0.794,0.296,0.241,26,3.52,3.55,263,14,8.8,15.7,0.5,0.714,0.5
Dallas Stars,20182019,93,2.55,2.44,21,82.8,30.7,31.6,51.9,52.4,52.5,46.6,52.4,51.6,51.7,134,2.44,136,49:03,48.3,22,15.61,11.76,6.94,39,55,86,66,0.81,0.909,0.241,0.148,19,3.18,3.46,263,13,8.3,14.9,0.5,0.55,0.536
Vegas Golden Knights,20182019,93,3,2.78,16.8,80.9,34.3,29.3,50.4,50.5,48.2,51.3,50.2,51,50,162,2.78,174,48:56,54.4,27.44,13.53,8.6,10.89,74,70,88,82,0.69,0.903,0.393,0.172,31,3.22,3.18,247,7,8.7,16.5,0.515,0.563,0.515
Colorado Avalanche,20182019,90,3.15,2.98,22,78.7,32.6,31.9,48.1,47.7,53.7,46,49.1,47.2,47.9,154,2.98,157,46:52,49.9,20.5,15.97,6.88,6.48,59,65,93,78,0.75,0.875,0.267,0.138,22,4.13,3.92,282,22,9.6,25,0.29,0.667,0.538
Arizona Coyotes,20182019,86,2.55,2.68,16.3,85,30.7,30.8,47.9,48,47.3,47.5,46.1,50.8,47.1,157,2.68,132,48:14,48.9,24.43,15.63,8.14,7.01,62,59,77,80,0.714,0.935,0.227,0.091,17,3.65,3.24,254,7,8.3,9.6,0.5,0.368,0.516
Florida Panthers,20182019,86,3.22,3.33,26.8,81.3,33,30.7,49.8,49.5,53.6,48.8,49.6,48.5,51.5,189,3.33,162,48:19,49.4,22.81,13.65,14.25,8.99,77,66,94,97,0.483,0.735,0.28,0.179,22,3.85,3.38,251,16,9.8,18.6,0.35,0.667,0.444
Chicago Blackhawks,20182019,84,3.26,3.55,20.2,72.7,32.5,34.8,49.5,49.3,54.4,46.8,52,48.1,48.2,185,3.55,183,49:06,49.3,16.26,13.44,8.75,7.42,91,96,85,90,0.741,0.92,0.31,0.147,16,3.18,3.1,228,14,10,16.1,0.488,0.308,0.429
Minnesota Wild,20182019,83,2.56,2.84,20.3,81.7,31.3,29.5,49.4,49.1,55.2,46.4,50,51.5,46.8,156,2.84,141,48:20,50.9,19.35,14.75,5.44,6.86,60,69,77,73,0.773,0.815,0.345,0.086,21,3.5,3.51,256,18,8.2,15,0.5,0.533,0.355
Philadelphia Flyers,20182019,82,2.94,3.41,17.1,78.5,31.5,32.5,54.7,54,64.1,51.6,53.4,54,56.7,191,3.41,165,48:22,48.5,21.21,15.43,9.38,5.92,63,94,82,89,0.773,0.839,0.222,0.098,11,3.63,3.67,273,13,9.3,19.2,0.529,0.364,0.405
Vancouver Canucks,20182019,81,2.67,3.02,17.1,81.1,29.7,31.7,49.5,49.7,51,46.6,50.3,47.3,50.6,176,3.02,146,48:12,47.9,21.53,14.76,6.68,6.4,59,75,75,78,0.75,0.75,0.152,0.132,13,3.6,3.52,268,13,9,23.6,0.405,0.667,0.387
Anaheim Ducks,20182019,80,2.39,3.02,17,79.7,27.7,33.2,51.3,51.3,56.5,47.7,49.6,54.6,50,154,3.02,137,48:23,47.6,22.91,14.43,10.67,6.8,57,77,71,83,0.68,0.769,0.219,0.167,11,3.16,3.86,292,12,8.6,17.2,0.541,0.429,0.29
Edmonton Oilers,20182019,79,2.79,3.3,21.2,74.8,29.2,31.7,48.4,48.8,48.8,44.7,48,46.7,50.2,179,3.3,146,49:11,48,26.47,14.18,11.08,8.02,77,83,73,95,0.63,0.778,0.241,0.103,14,3.37,3.72,272,16,9.6,18.3,0.559,0.417,0.306
New York Rangers,20182019,78,2.7,3.26,19.4,78.2,29.2,33.8,46.9,46.8,51.2,44.6,46.6,48.8,45.5,173,3.26,145,48:08,46.1,25.52,14.55,11.82,8,65,74,65,87,0.526,0.722,0.148,0.162,12,3.53,4.07,285,28,9.2,11.7,0.429,0.467,0.28
Buffalo Sabres,20182019,76,2.7,3.27,19.5,80.9,32.9,33,47.9,47.6,55.2,43.4,45.5,47.6,50.6,185,3.27,154,49:06,50,18.8,12.05,8.76,6.04,71,69,73,98,0.655,0.75,0.25,0.179,13,3.33,3.06,237,12,8.2,12.8,0.472,0.389,0.321
Detroit Red Wings,20182019,74,2.73,3.32,18.1,77.1,29.2,33.7,50.8,50.7,53.2,48.8,49.7,51,51.5,178,3.32,147,49:05,47.1,21,13.24,11.9,5.68,62,64,67,103,0.5,0.739,0.226,0.158,10,3.17,3.45,257,15,9.4,17.5,0.465,0.273,0.353
New Jersey Devils,20182019,72,2.67,3.3,17.7,84.3,30.3,31.6,49.4,48.9,53.8,48.2,49.6,49.7,48.9,184,3.3,147,47:37,46.9,23.16,13.94,8.41,7.58,74,87,75,91,0.63,0.815,0.067,0.122,15,3.8,3.82,282,17,8.8,19.2,0.375,0.444,0.366
Los Angeles Kings,20182019,71,2.43,3.16,15.8,76.5,28.8,31.4,50.5,50.1,56.1,48.4,48.5,49.2,53.4,171,3.16,141,49:20,48.1,22.97,14.09,9.59,5.14,57,78,63,93,0.867,0.833,0.097,0.049,12,3.28,3.34,247,15,8.4,13.7,0.452,0.278,0.364
Ottawa Senators,20182019,64,2.95,3.67,20.4,79.2,29.6,35.7,49.6,50.2,50.7,42.5,50.6,50.2,48.2,219,3.67,172,49:24,44.9,21.62,16.75,11.15,7.38,74,84,79,110,0.586,0.76,0.161,0.071,11,3.46,3.37,244,23,10,17.7,0.346,0.412,0.333
